Parameter,Rhat
z_Intercept_subj_trans.36.0,1.00001678951001
z_Intercept_subj_trans.37.0,1.0000463203984773
z_Intercept_subj_trans.38.0,1.0000235608551669
z_Intercept_subj_trans.39.0,1.0001688026478208
z_Intercept_subj_trans.40.0,1.0000283066871032
z_Intercept_subj_trans.41.0,0.9999908288337915
z_Intercept_subj_trans.42.0,0.9999702515838206
z_Intercept_subj_trans.43.0,1.0000086902547354
z_Intercept_subj_trans.44.0,0.9999978221887422
z_Intercept_subj_trans.45.0,1.0001283813729762
z_Intercept_subj_trans.46.0,0.9999698611778559
z_Intercept_subj_trans.47.0,0.9999999760974269
z_Intercept_subj_trans.48.0,0.9999802209955243
z_Intercept_subj_trans.49.0,1.00000983317894
