,mean,std,2.5q,25q,50q,75q,97.5q,mc err,,
v_Intercept_subj.34.0,-0.09563047,0.097363404,-0.28562127,-0.161112484,-0.095909798,-0.029876877,0.094899962,0.000471962,,
v_Intercept_subj.35.0,0.311733973,0.10362612,0.109294298,0.241814215,0.311917683,0.3812698,0.516849741,0.000439613,,
v_Intercept_subj.36.0,-0.016144262,0.098306212,-0.209645122,-0.082644373,-0.016239506,0.050241665,0.175228903,0.000443088,,
v_Intercept_subj.37.0,-0.048693365,0.083419008,-0.211812166,-0.105067406,-0.048951045,0.007464304,0.115111628,0.000418173,,
v_Intercept_subj.38.0,0.121583048,0.107265623,-0.089368934,0.049471705,0.121345334,0.193572386,0.332330595,0.000544232,,
v_Intercept_subj.39.0,0.188298628,0.093985308,0.00437653,0.124794009,0.188560845,0.251257458,0.374096029,0.00039704,,
v_Intercept_subj.40.0,0.466932081,0.089684142,0.291550329,0.406694578,0.466748948,0.527010983,0.643951691,0.000440608,,
v_Intercept_subj.41.0,0.048227141,0.099331961,-0.145990198,-0.018893268,0.048763442,0.11484965,0.243314621,0.000438582,,
v_Intercept_subj.42.0,-0.010604307,0.091926465,-0.190006768,-0.072297552,-0.010731456,0.051442064,0.169011174,0.00042175,,
v_Intercept_subj.43.0,0.328250723,0.097411073,0.137631222,0.262379155,0.32782404,0.393856301,0.519842104,0.000427723,,
v_Intercept_subj.44.0,0.44239367,0.101274319,0.244999351,0.373764849,0.44223206,0.510987331,0.641007899,0.000458499,,
v_Intercept_subj.45.0,0.342204864,0.092774791,0.160689263,0.279921226,0.341510989,0.404250363,0.526001896,0.000414296,,
v_Intercept_subj.46.0,-0.277092396,0.105367059,-0.481775875,-0.348369419,-0.276764477,-0.20593724,-0.07093247,0.000602489,,
v_Intercept_subj.47.0,0.22342334,0.106440471,0.013513424,0.151801828,0.223254903,0.295675286,0.431721421,0.000586447,,
v_Intercept_subj.48.0,0.165528842,0.118201869,-0.064205988,0.085647273,0.164888972,0.244893056,0.398723075,0.000554714,,
v_Intercept_subj.49.0,0.520527026,0.106686116,0.312816022,0.448154171,0.52019712,0.592029718,0.730759781,0.000542738,,
v_stim,1.761040725,0.059831692,1.644994144,1.720722531,1.760418889,1.800609941,1.880522077,0.0003171,,
v_stim_std,0.34694508,0.051769503,0.255726196,0.310699691,0.343453898,0.379478707,0.458055647,0.0003059,,
v_stim_subj.1.0,1.709567965,0.20654646,1.310915833,1.571185029,1.706301898,1.845293651,2.126940213,0.000837975,,
