,mean,std,2.5q,25q,50q,75q,97.5q,mc err
v_Intercept_subj.25.0,0.16979949763787716,0.1021515737077799,-0.028528463654445363,0.10065933446766531,0.16913298505271035,0.2387015794246024,0.3710739570951431,0.0004517460413455016
v_Intercept_subj.26.0,0.16395873599184485,0.10419097240590414,-0.03974622465701083,0.09408618049679797,0.1632813077057296,0.23410813038153072,0.3695273639543779,0.000432976158036397
v_Intercept_subj.27.0,-0.04532017718302023,0.07964275917304109,-0.20095721240706146,-0.09885846902029871,-0.045101417589658396,0.00839457687664305,0.11083929344349186,0.0004032312019888469
v_Intercept_subj.28.0,-0.6090929527560475,0.1093562575989641,-0.8242386564050684,-0.6825120709424611,-0.6088803896113675,-0.5351902300437591,-0.39362414296824344,0.0005044372826908269
v_Intercept_subj.29.0,0.11415413696279132,0.10010110432353221,-0.0817152274414235,0.04668346747983318,0.11408723357911203,0.18162991989578595,0.3106384864808524,0.0005062761571525382
v_Intercept_subj.30.0,-0.5577792797585733,0.12572137459965943,-0.8043051361068073,-0.6429691207473669,-0.5578927905332393,-0.4722683022394608,-0.3124214783337319,0.000665874632842257
v_Intercept_subj.31.0,-0.1621493981036386,0.09031872091203072,-0.3409027440937861,-0.2232513926713094,-0.1620837117347808,-0.10125974063791238,0.013417560587659139,0.0003985090948202336
v_Intercept_subj.32.0,0.027159881512291498,0.09732721176628802,-0.16192475449724886,-0.038907250227341136,0.02702736276132886,0.09240723529484535,0.22030634121755013,0.0004496420255859536
v_Intercept_subj.33.0,-0.44420007816168855,0.10107262643828106,-0.6435388502536931,-0.5125980206699069,-0.4435959229905624,-0.3755562286077423,-0.2466120319263994,0.00048156247994267853
v_Intercept_subj.34.0,-0.0935541496925133,0.09682855652814278,-0.28271841289829286,-0.15916532774620024,-0.09352476033469109,-0.028480957700518894,0.09756569168588336,0.0004678040532147583
v_Intercept_subj.35.0,0.3093836812869525,0.10403432880791871,0.10670065113553685,0.23924502585381355,0.3090907355514203,0.37924584762484936,0.5135387368519297,0.0004886307348370265
v_Intercept_subj.36.0,-0.010448105826221661,0.09889425124684556,-0.20616392283990564,-0.07690739661931982,-0.010628039565286879,0.05601368084281744,0.18360953081081893,0.00048203225373331146
v_Intercept_subj.37.0,-0.04897354713536618,0.08263890164125266,-0.21129011383417548,-0.10456039470811287,-0.04880518170039902,0.0062934150515477905,0.11282428757234547,0.0004264472367771872
v_Intercept_subj.38.0,0.1281238921496362,0.1088262786000531,-0.08569304708775613,0.05483221617691434,0.12836384354309985,0.2012110395784137,0.3415434133217809,0.0005191801611263146
v_Intercept_subj.39.0,0.18200125902149025,0.09425265662773817,-0.0034298107144915685,0.11860646497134054,0.18209517395877553,0.24577795481641007,0.36572458697072496,0.00044706870559454894
v_Intercept_subj.40.0,0.4651127087416703,0.09063536551802324,0.2896889519632685,0.4034300752081881,0.464359726707952,0.5262405203427208,0.6444934060123775,0.0004084052792018342
v_Intercept_subj.41.0,0.05018439728994066,0.09862746644133624,-0.14287473508371082,-0.01596716469138846,0.04997738504233812,0.11656478119967906,0.2442294131869491,0.0004120360923374128
v_Intercept_subj.42.0,-0.0018050735925805783,0.09178597124089106,-0.18244849452385853,-0.06368551199116015,-0.0016444539852219636,0.060108630773975304,0.17805331340718256,0.00044457546853725934
v_Intercept_subj.43.0,0.32940532644816484,0.09752071810329635,0.13892470393093637,0.26299474938434486,0.32921313297530963,0.39527556188647134,0.520675064533954,0.0004320490054246705
v_Intercept_subj.44.0,0.4444288114149856,0.10107415111148002,0.2461763165990571,0.37678322080656645,0.4440161342327823,0.5123999646007082,0.6431287340876359,0.0005520460129447108
v_Intercept_subj.45.0,0.356442492889481,0.09322786114998638,0.17507567394826162,0.29292348705612187,0.35621895470764614,0.4193085716930896,0.5399324671585097,0.00039268368047648214
v_Intercept_subj.46.0,-0.2750941760615816,0.10510929236634624,-0.481046527916122,-0.34593106134627444,-0.27440924649425563,-0.20396389004137114,-0.06991134876325056,0.0005479297348329483
v_Intercept_subj.47.0,0.22424570002055635,0.10434777793534189,0.018032171764215107,0.15372750702907179,0.22496807204370212,0.29486235969079333,0.42912826082568684,0.0004807788031589692
v_Intercept_subj.48.0,0.156155686977707,0.11674584706027388,-0.06929983049261329,0.07642688372867319,0.15577120526119304,0.23435209461974074,0.38732271606452284,0.0005075284950795072
v_Intercept_subj.49.0,0.527292835634335,0.10767018387626584,0.3162181452762611,0.4548807182310174,0.5269396153996184,0.5996801575558288,0.7390610614705563,0.0005419550831000763
v_stim,1.766818290728612,0.059744908638874675,1.6517147676010013,1.7267802251879039,1.7662973014595733,1.8061778966732194,1.8856707846100589,0.0002855054611483409
v_stim_std,0.34735597828798476,0.05171972002019935,0.25595691574175283,0.3113524953049371,0.34374244429778733,0.37923974157728335,0.45987895846176596,0.0003133442474246643
v_stim_subj.1.0,1.7077115728971832,0.20481476238930027,1.3132649598833126,1.5686837379420044,1.704963364112077,1.843511857191784,2.119237313567176,0.0008358291079112809
v_stim_subj.2.0,1.9028308293662048,0.1778282260727744,1.5573366372002175,1.782491918165207,1.9021946528764966,2.022134460954255,2.2563318509854557,0.0008346071374214345
v_stim_subj.3.0,1.5871114810404892,0.15720487317548107,1.2804146202439863,1.4812476326269408,1.5863864015825309,1.6925691314979512,1.8982374278666292,0.0005887890974955667
v_stim_subj.4.0,2.191993941917635,0.2377735405176743,1.7350487994614823,2.030890435660654,2.188264338068883,2.351165788380215,2.668138288693497,0.0011031477298294096
v_stim_subj.5.0,1.7935972765760997,0.1957945722159895,1.4130895914180979,1.6617271717247077,1.792710286825653,1.925038487980875,2.180295461153457,0.0007928826048606652
v_stim_subj.6.0,1.6447361632812698,0.17893363958794728,1.2928809413638491,1.5235187135118846,1.6450527231074394,1.7658145867018011,1.9928093119148103,0.0007157512422746676
v_stim_subj.7.0,1.496267926864784,0.16413792150562484,1.176116743581649,1.384385967756741,1.4956498463820873,1.6063695713743544,1.821189381706493,0.0007210974557948043
v_stim_subj.8.0,2.0549670888648435,0.19652909126790513,1.6719966584878718,1.9212766812986464,2.0537199354161464,2.187434563872465,2.4413686997855444,0.0009800732473498476
v_stim_subj.9.0,1.9079386469525441,0.17299181140157494,1.572840900996861,1.7906029383154425,1.9068869412693452,2.024295875168225,2.2505599218826773,0.0006918859688550829
v_stim_subj.10.0,1.127025306825503,0.13481543366013057,0.8627116886829269,1.0362659088606025,1.1273814475266122,1.2177492767512264,1.3941930040937778,0.000516051330637963
v_stim_subj.11.0,1.447749477115002,0.1586858500394034,1.1378535233119205,1.3406283371618775,1.4466650357337272,1.5549021578150923,1.75944580214562,0.0006205810726348195
v_stim_subj.12.0,1.6788291697757018,0.17404843329276623,1.3434793747925442,1.5604136853878319,1.678038534897794,1.7955252152706507,2.0225434435050613,0.0007353018428501459
v_stim_subj.13.0,1.9789628650190783,0.20394279213697442,1.5856879015572538,1.8396348608839899,1.9770820283657644,2.1143452914527545,2.384851346240949,0.0009658734284193589
v_stim_subj.14.0,2.1059693852968726,0.19185245222423242,1.7360526951211848,1.974723961112594,2.1034712885424236,2.2348054851124766,2.4885663331896373,0.0008034246200980562
v_stim_subj.15.0,2.0818621703782894,0.2058253025442362,1.6834772725850191,1.943249103674301,2.0809898369688007,2.2176561693018435,2.4905096355885767,0.0009422616491709109
v_stim_subj.16.0,1.6237754482401108,0.16240251043637297,1.305550820733744,1.513730872672094,1.6243530324559565,1.7336285735178327,1.940745985106374,0.0005911651695727181
v_stim_subj.17.0,1.7213253619175597,0.20178974845173314,1.326509056531461,1.5846344222603828,1.7212025672183244,1.8573515590497778,2.1174046187296125,0.0008728731846236631
v_stim_subj.18.0,2.161460869503145,0.19735016255597354,1.7828621764064985,2.025891773101731,2.160097848835715,2.293158085769348,2.553862414430969,0.0008883149663887313
v_stim_subj.20.0,1.709727338574874,0.1838080342181201,1.3521030862700139,1.5861878537245748,1.7093993608033071,1.8324686325411874,2.072646923974562,0.0007918122644327733
v_stim_subj.21.0,1.7216138473566693,0.17817713791547898,1.377841479324048,1.6012008327207672,1.7201102874301168,1.8403906062486322,2.074684253338303,0.0007176710048170027
v_stim_subj.22.0,1.3843139130283149,0.15449090982080604,1.0822165456443407,1.2802941823997902,1.3849111250900175,1.489030075932055,1.6838611752854677,0.0007203520904374385
v_stim_subj.23.0,1.7906289217389333,0.16635161026015907,1.4616045458713154,1.679219250215977,1.7906116540543306,1.9024343514184472,2.1164758596491,0.0007289381066630342
v_stim_subj.24.0,1.5838871185050265,0.16161552394622855,1.2676246035987642,1.4753526230522063,1.5831254951770906,1.6916192740711815,1.902780839878086,0.0007484898032851673
v_stim_subj.25.0,1.5388012052208992,0.16659901977116756,1.2167529029657622,1.425866107163972,1.5371794834280081,1.65095108217861,1.869032786596049,0.0007343728414627515
v_stim_subj.26.0,1.7500430476320217,0.1793992359412926,1.3983066696527162,1.6294752009255222,1.7490124267735112,1.8719041242012904,2.101528834111028,0.000760736141756736
v_stim_subj.27.0,1.5380000865335477,0.15255111504282748,1.2404036541930477,1.4356041550668535,1.537677824983662,1.6401180746909692,1.8389074715259182,0.0006851082985473453
v_stim_subj.28.0,2.1655580862472585,0.1993102476990978,1.7846472914471858,2.029563471142158,2.161572920396609,2.2984633077884884,2.5643315177155603,0.00087653089149665
v_stim_subj.29.0,1.80501736525415,0.20649900038242391,1.3934174506336847,1.6673585866459855,1.8081814188234215,1.944912264361637,2.2019378851296603,0.0010361328417237594
v_stim_subj.30.0,1.866370784516622,0.19899860864768734,1.4791619671256544,1.7319960720098975,1.8651160156557767,1.9988623059705986,2.2614923814246235,0.0008809582893051655
v_stim_subj.31.0,1.4767490182721843,0.15249573896516694,1.1772150882732217,1.3747712152928164,1.4770670242173063,1.5783789550734448,1.775881674678967,0.000697444679443452
v_stim_subj.32.0,2.1395227732287934,0.19466945844112657,1.7643248589168072,2.0065867142100315,2.1368857250221285,2.2700283386767905,2.526728546680461,0.000886717196138089
v_stim_subj.33.0,2.0748649122589313,0.18420793256329945,1.7180132240059793,1.9492793788624845,2.073722618541404,2.1981445400716133,2.4425009737782095,0.0007442088292690955
v_stim_subj.34.0,1.498317686894025,0.18476974498435955,1.1396138461625844,1.372254338006718,1.4991524790970154,1.6229571121763766,1.8646456394034017,0.0013891935717392995
v_stim_subj.35.0,1.6323426202085842,0.17591802552142866,1.2870743412338024,1.5137886573342876,1.6319464534827217,1.750625057264266,1.9765481659140443,0.0007793460174025704
